POA,Occupied private dwellings
"2000, NSW",10932
"2006, NSW",21
"2007, NSW",3290
"2008, NSW",2894
"2009, NSW",5654
"2010, NSW",13619
"2011, NSW",11012
"2015, NSW",4118
"2016, NSW",6114
"2017, NSW",7484
"2018, NSW",5961
"2019, NSW",3156
"2020, NSW",3853
"2021, NSW",6900
"2022, NSW",5241
"2023, NSW",4239
"2024, NSW",4462
"2025, NSW",3356
"2026, NSW",14151
"2027, NSW",3811
"2028, NSW",2219
"2029, NSW",4021
"2030, NSW",4930
"2031, NSW",13659
"2032, NSW",6061
"2033, NSW",4358
"2034, NSW",8623
"2035, NSW",13212
"2036, NSW",9476
"2037, NSW",6570
"2038, NSW",3739
"2039, NSW",3490
"2040, NSW",8702
"2041, NSW",6704
"2042, NSW",8216
"2043, NSW",3349
"2044, NSW",2894
"2045, NSW",2352
"2046, NSW",10285
"2047, NSW",4859
"2048, NSW",3296
"2049, NSW",4372
"2050, NSW",3542
"2052, NSW",43
"2060, NSW",6308
"2061, NSW",3178
"2062, NSW",3191
"2063, NSW",2060
"2064, NSW",3654
"2065, NSW",12612
"2066, NSW",10723
"2067, NSW",8906
"2068, NSW",5642
"2069, NSW",4471
"2070, NSW",4158
"2071, NSW",4158
"2072, NSW",2280
"2073, NSW",5166
"2074, NSW",7269
"2075, NSW",6354
"2076, NSW",7847
"2077, NSW",13526
"2079, NSW",2330
"2080, NSW",562
"2081, NSW",1665
"2082, NSW",1921
"2083, NSW",647
"2084, NSW",1128
"2085, NSW",3540
"2086, NSW",4256
"2087, NSW",4214
"2088, NSW",11652
"2089, NSW",5618
"2090, NSW",6327
"2092, NSW",2197
"2093, NSW",8068
"2094, NSW",2354
"2095, NSW",7079
"2096, NSW",5749
"2097, NSW",5168
"2099, NSW",14815
"2100, NSW",6664
"2101, NSW",7007
"2102, NSW",2055
"2103, NSW",3755
"2104, NSW",1223
"2105, NSW",668
"2106, NSW",3450
"2107, NSW",5123
"2108, NSW",766
"2109, NSW",288
"2110, NSW",3244
"2111, NSW",5418
"2112, NSW",10329
"2113, NSW",6520
"2114, NSW",8474
"2115, NSW",3314
"2116, NSW",2148
"2117, NSW",7002
"2118, NSW",7272
"2119, NSW",3507
"2120, NSW",6659
"2121, NSW",8742
"2122, NSW",10718
"2125, NSW",5086
"2126, NSW",5872
"2127, NSW",3361
"2128, NSW",636
