
CONTENTS,
,,
Section 2 - All Students,
,,
,"Table 1: All Students by Age Group and Broad Level of Course, Full Year 2006"
,"Table 2: All Domestic Students by Age Group and Broad Level of Course, Full Year 2006"
,"Table 3: All Students by Level of Course, Broad Field of Education and Gender, Full Year 2006"
,"Table 4: All Students by State of Permanent Home Residence and State of Higher Education Provider of Study, Full Year 2006"
,"Table 5: All Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006"
,"Table 6: All Domestic Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006"
,"Table 7: All Students by State, Higher Education Provider, Mode of Attendance, Type of Attendance and Gender, Full Year 2006"
,"Table 8: All Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006"
,"Table 9: All Domestic Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006"
,"Table 10: All Students by State, Higher Education Provider, Citizenship and Residence Status, Full Year 2006"
,,
,,
< Back to Contents >,,,,,,,,,,,,,
"Table 1: All Students by Age Group and Broad Level of Course, Full Year 2006",,,,,,,,,,,,,
Age Group,Doctorate by Research,Doctorate by Coursework,Master's by Research,Master's by Coursework,Other Postgraduate,Sub-total Postgraduate,Bachelor,Associate Degree,Other Undergraduate,Sub-total Undergraduate,Enabling Courses,Non-award Courses,TOTAL
16 and under,0,0,0,4,1,5,738,17,37,792,91,931,"1,819"
17,0,0,0,0,4,4,"37,030",90,433,"37,553",710,494,"38,761"
18,0,0,0,16,13,29,"79,798",222,"1,099","81,119",679,828,"82,655"
19,5,0,2,148,56,211,"92,392",256,886,"93,534",693,"2,194","96,632"
Sub-total 19 and under,5,0,2,168,74,249,"209,958",585,"2,455","212,998","2,173","4,447","219,867"
,,,,,,,,,,,,,,
20,27,0,20,"1,467",734,"2,248","95,500",324,766,"96,590",557,"4,165","103,560"
21,366,5,101,"4,824","1,892","7,188","81,833",343,607,"82,783",399,"2,779","93,149"
22,990,23,263,"9,679","3,197","14,152","58,132",322,502,"58,956",350,"1,521","74,979"
23,"1,527",45,403,"13,336","3,870","19,181","39,775",285,374,"40,434",271,"1,202","61,088"
24,"2,003",52,474,"12,982","3,922","19,433","26,700",265,281,"27,246",249,941,"47,869"
Sub-total 20 to 24,"4,913",125,"1,261","42,288","13,615","62,202","301,940","1,539","2,530","306,009","1,826","10,608","380,645"
,,,,,,,,,,,,,,
25,"2,248",57,484,"10,744","3,328","16,861","18,948",243,251,"19,442",233,789,"37,325"
26,"2,324",58,443,"9,024","3,228","15,077","14,533",222,202,"14,957",191,618,"30,843"
27,"1,960",46,391,"7,712","2,907","13,016","11,760",176,171,"12,107",210,493,"25,826"
28,"1,875",54,329,"6,515","2,751","11,524","10,033",171,183,"10,387",183,457,"22,551"
29,"1,631",65,321,"6,175","2,631","10,823","8,923",126,170,"9,219",158,393,"20,593"
Sub-total 25 to 29,"10,038",280,"1,968","40,170","14,845","67,301","64,197",938,977,"66,112",975,"2,750","137,138"
,,,,,,,,,,,,,,
30 to 39,"11,609",526,"2,587","39,768","22,028","76,518","57,599","1,193","1,422","60,214","1,365","2,909","141,006"
40 to 49,"8,260",548,"1,836","19,577","14,170","44,391","26,867",490,960,"28,317",716,"1,423","74,847"
50 to 59,"4,583",287,"1,010","6,006","5,084","16,970","7,885",153,432,"8,470",204,476,"26,120"
60 and over,"1,103",40,292,728,655,"2,818","1,371",24,158,"1,553",50,102,"4,523"
